Parameter,Value
a_scale_mean,0.6331436343853075
a_scale_std,0.026442490897972088
a_scale_hdi_3%,0.5860678018801311
a_scale_hdi_97%,0.6846842955516979
g_factor_mean,2.006233384547951
g_factor_std,0.02651516278614671
g_factor_hdi_3%,1.9571376829514366
g_factor_hdi_97%,2.0468696668197754
B4_mean,0.00129854907244545
B4_std,0.00031572249489585796
B4_hdi_3%,0.0007115155438328777
B4_hdi_97%,0.0019478400902111944
B6_mean,-1.434717544724557e-05
B6_std,3.7688689216698635e-05
B6_hdi_3%,-9.984799040957016e-05
B6_hdi_97%,6.144304012231765e-05
log_gamma_mu_mean,23.5972104300981
log_gamma_mu_std,0.3074730195290202
log_gamma_mu_hdi_3%,23.080479036771855
log_gamma_mu_hdi_97%,24.241589833926408
log_gamma_sigma_mean,0.39168468363099496
log_gamma_sigma_std,0.3029314329848842
log_gamma_sigma_hdi_3%,0.013977331765481653
log_gamma_sigma_hdi_97%,1.0956559943478177
log_gamma_offset_0_mean,-0.09367481962021072
log_gamma_offset_0_std,0.4676923568979015
log_gamma_offset_0_hdi_3%,-1.0005237772259157
log_gamma_offset_0_hdi_97%,0.8044951333434565
log_gamma_offset_1_mean,-0.09829296048507663
log_gamma_offset_1_std,0.48509919340518554
log_gamma_offset_1_hdi_3%,-1.0615407894707782
log_gamma_offset_1_hdi_97%,0.7892425164995109
log_gamma_offset_2_mean,0.00035212455413232747
log_gamma_offset_2_std,0.5065378844028384
log_gamma_offset_2_hdi_3%,-0.98942852645477
log_gamma_offset_2_hdi_97%,0.9080920823219445
log_gamma_offset_3_mean,-0.007897880522807132
log_gamma_offset_3_std,0.4978881725636934
log_gamma_offset_3_hdi_3%,-0.9335628484720417
log_gamma_offset_3_hdi_97%,0.8880861936477181
log_gamma_offset_4_mean,0.0008146523827210723
log_gamma_offset_4_std,0.5132771250698761
log_gamma_offset_4_hdi_3%,-0.9613677097303005
log_gamma_offset_4_hdi_97%,0.9451183378322979
log_gamma_offset_5_mean,-0.010918104121936612
log_gamma_offset_5_std,0.5102364200380212
log_gamma_offset_5_hdi_3%,-0.9707541474853275
log_gamma_offset_5_hdi_97%,0.9227595467292576
log_gamma_offset_6_mean,-0.010201017803449876
log_gamma_offset_6_std,0.5070079320782259
log_gamma_offset_6_hdi_3%,-0.9468158706340916
log_gamma_offset_6_hdi_97%,0.9038119894570256
G0_mean,25315989771.36704
observation_noise_sigma_mean,0.12146281482361633
observation_noise_sigma_std,0.0076313492902984744
