Parameter,Value
a_scale_mean,0.5606580387797945
a_scale_std,0.030786124472583398
a_scale_hdi_3%,0.5077332039873907
a_scale_hdi_97%,0.6232124016657338
g_factor_mean,2.0015207620704643
g_factor_std,0.01268697274819207
g_factor_hdi_3%,1.9834912656203147
g_factor_hdi_97%,2.0327050306564876
B4_mean,0.0001080817830302221
B4_std,0.0002551760955816077
B4_hdi_3%,-0.00029693760598842973
B4_hdi_97%,0.00048041835052674417
B6_mean,-1.682522982031056e-06
B6_std,3.816136521341719e-05
B6_hdi_3%,-4.856711336180415e-05
B6_hdi_97%,4.21670888085528e-05
log_gamma_mu_base_mean,24.22461658074835
log_gamma_mu_base_std,0.2707420587634717
log_gamma_mu_base_hdi_3%,23.662950669901765
log_gamma_mu_base_hdi_97%,24.675310604565098
temp_gamma_slope_mean,0.0011185359005794556
temp_gamma_slope_std,0.0005005471115620423
temp_gamma_slope_hdi_3%,0.000184811558445326
temp_gamma_slope_hdi_97%,0.00205256258377656
temp_gamma_nonlinear_mean,2.4892684128180905e-06
temp_gamma_nonlinear_std,4.312671936837282e-06
temp_gamma_nonlinear_hdi_3%,-5.485683653494559e-06
temp_gamma_nonlinear_hdi_97%,1.0954786095148238e-05
log_gamma_sigma_base_mean,0.4085271174209185
log_gamma_sigma_base_std,0.3406519670164648
log_gamma_offset_base_0_mean,-0.22303529902767594
log_gamma_offset_base_0_std,0.4644871471468958
log_gamma_offset_base_0_hdi_3%,-1.0556155145350332
log_gamma_offset_base_0_hdi_97%,0.6573762332725128
log_gamma_offset_base_1_mean,-0.13032744212856634
log_gamma_offset_base_1_std,0.48623262904576575
log_gamma_offset_base_1_hdi_3%,-1.0011588621617813
log_gamma_offset_base_1_hdi_97%,0.7861118883431231
log_gamma_offset_base_2_mean,0.17112331337732503
log_gamma_offset_base_2_std,0.5461548955811719
log_gamma_offset_base_2_hdi_3%,-0.789073481762906
log_gamma_offset_base_2_hdi_97%,1.2046414024827508
log_gamma_offset_base_3_mean,0.04144738079437404
log_gamma_offset_base_3_std,0.45098134453082156
log_gamma_offset_base_3_hdi_3%,-0.7772419849908355
log_gamma_offset_base_3_hdi_97%,0.9133731880575718
log_gamma_offset_base_4_mean,-0.03882166501453989
log_gamma_offset_base_4_std,0.4708616926319157
log_gamma_offset_base_4_hdi_3%,-0.8745498941573178
log_gamma_offset_base_4_hdi_97%,0.8652545959275486
log_gamma_offset_base_5_mean,-0.022882992047546836
log_gamma_offset_base_5_std,0.474802676269429
log_gamma_offset_base_5_hdi_3%,-0.9147739995018302
log_gamma_offset_base_5_hdi_97%,0.873788433004037
log_gamma_offset_base_6_mean,-0.01722242828521456
log_gamma_offset_base_6_std,0.47985727043293047
log_gamma_offset_base_6_hdi_3%,-0.9068910291766841
log_gamma_offset_base_6_hdi_97%,0.8748828890090962
G0_mean,22312488682.33706
