Parameter,Value
a_scale_mean,0.6421553793127986
a_scale_std,0.03184910687002433
a_scale_hdi_3%,0.5797000876746232
a_scale_hdi_97%,0.7001789978240373
g_factor_mean,1.9979393636545373
g_factor_std,0.009680102226758738
g_factor_hdi_3%,1.9827009517001661
g_factor_hdi_97%,2.017901821918786
B4_mean,0.0005571937890010455
B4_std,4.31836364003718e-05
B4_hdi_3%,0.0004755527902625347
B4_hdi_97%,0.0006355717083366953
B6_mean,5.0259199206557785e-05
B6_std,3.830903027940814e-06
B6_hdi_3%,4.282932642829761e-05
B6_hdi_97%,5.7235203300243404e-05
log_gamma_mu_base_mean,24.814280654608382
log_gamma_mu_base_std,0.2826697857391673
log_gamma_mu_base_hdi_3%,24.289105049147192
log_gamma_mu_base_hdi_97%,25.37455249122039
temp_gamma_slope_mean,0.0009430906058703872
temp_gamma_slope_std,0.000483146181079164
temp_gamma_slope_hdi_3%,3.929817666281193e-05
temp_gamma_slope_hdi_97%,0.0018455748405423078
temp_gamma_nonlinear_mean,-4.134745834225772e-06
temp_gamma_nonlinear_std,3.0146959866314416e-06
temp_gamma_nonlinear_hdi_3%,-9.960361096999528e-06
temp_gamma_nonlinear_hdi_97%,1.5944948969798927e-06
log_gamma_sigma_base_mean,1.290509809803068
log_gamma_sigma_base_std,0.22117384664453696
log_gamma_offset_base_0_mean,-0.6635841111407987
log_gamma_offset_base_0_std,0.2691829905488255
log_gamma_offset_base_0_hdi_3%,-1.1987522547799394
log_gamma_offset_base_0_hdi_97%,-0.20676258172439665
log_gamma_offset_base_1_mean,1.3267763630305232
log_gamma_offset_base_1_std,0.3083126540036395
log_gamma_offset_base_1_hdi_3%,0.7852136423662802
log_gamma_offset_base_1_hdi_97%,1.9348844419916509
log_gamma_offset_base_2_mean,-0.5034174349412049
log_gamma_offset_base_2_std,0.241893952522972
log_gamma_offset_base_2_hdi_3%,-0.9669060682702308
log_gamma_offset_base_2_hdi_97%,-0.059941570989626825
log_gamma_offset_base_3_mean,-0.2898948056838891
log_gamma_offset_base_3_std,0.2438386918869718
log_gamma_offset_base_3_hdi_3%,-0.7414434902257285
log_gamma_offset_base_3_hdi_97%,0.19980812481846685
log_gamma_offset_base_4_mean,-0.04302163527683235
log_gamma_offset_base_4_std,0.26600511618508466
log_gamma_offset_base_4_hdi_3%,-0.5342496475232799
log_gamma_offset_base_4_hdi_97%,0.46172307165178356
log_gamma_offset_base_5_mean,-0.0983572468555482
log_gamma_offset_base_5_std,0.2928586819465163
log_gamma_offset_base_5_hdi_3%,-0.6539849974008072
log_gamma_offset_base_5_hdi_97%,0.4726542745570034
log_gamma_offset_base_6_mean,0.024290657482844268
log_gamma_offset_base_6_std,0.3502456335157047
log_gamma_offset_base_6_hdi_3%,-0.6018630047439169
log_gamma_offset_base_6_hdi_97%,0.7217075308855946
G0_mean,25464461275.479195
