Data_Point,H_form_pareto_k,B_form_pareto_k
0,-0.13953469351745978,-0.13540318129533585
1,-0.14104877824086062,-0.14611079173610794
2,-0.1470074066458281,-0.1448011870316346
3,0.009735383119935352,0.041025826500960226
4,0.09579185325368035,0.12951839618797414
5,0.1572034235400749,0.16339633337190493
6,0.16315021147452216,0.1420439304520983
7,0.10865128865105951,0.11105964279792799
8,0.08019127768822068,0.227756131727238
9,0.1889736750591574,0.29173619144483554
10,-0.023195278034339382,-0.029897139545538486
11,0.009972211570030845,-0.03064735600997424
12,-0.09527932433414825,0.09631585597778322
13,0.42231035432204184,-0.0019270192239050365
14,0.5928196750801834,-0.15246489342860706
15,-0.19786771933784145,-0.12530355713921476
16,0.052921860297654215,-0.14335249331449695
17,0.08712690849703679,-0.15803803929993582
18,0.31448150838551786,0.1505534991273219
19,0.8315438521845941,0.048610660313754245
20,0.525618141398827,-0.15363422600762558
21,-0.12966940005718103,-0.1420190015570856
22,-0.14098836534414697,-0.12613152941603428
23,-0.14037638887324472,-0.05764934536258666
24,-0.147732479805788,-0.14549776810365211
25,-0.1589583895761096,-0.13572675982220903
26,-0.11614908790952362,-0.12700298753376335
27,-0.08517861855553324,-0.08454382038103059
28,0.1060081865131537,0.15768624842029047
29,0.23631675914280711,0.24837884981775218
30,0.2940422261895936,0.29722224865699787
31,0.3055745534943331,0.1316605547324124
32,0.011522899423930892,0.13538428184190823
33,-0.023248592936640125,0.015068362777805258
34,0.011816999463559979,0.06460100430211119
35,0.06922417501923868,0.06841787176647088
36,0.07313429345880275,0.03442495842535395
37,0.045727124169630394,0.007538258467679308
38,0.017887084837894324,-0.027000209777523054
39,-0.1391805709551051,-0.14234620780880178
40,-0.13863027810504225,-0.14292169922710593
41,-0.13809075568713558,-0.14220984008103993
42,-0.13744994841499933,-0.14196721612228655
43,-0.13578974623088602,-0.14222657060140723
44,-0.13741047130410775,-0.14236528074496405
45,-0.14039524815032153,-0.14419092973432834
46,-0.1398957757918418,-0.14423063385865928
47,-0.1407295926377579,-0.1439788422011428
48,-0.14136338922301478,-0.14326687460107915
49,-0.1409947956609031,-0.14362270434080096
50,-0.13988547183932878,-0.14431622084644022
51,-0.13965174670280558,-0.14366445522499222
52,-0.1398426940399352,-0.14404551207710486
53,-0.14012808018852055,-0.14622281594832703
54,-0.14100327255785353,-0.1478169188228433
55,-0.14216481309977855,-0.14935036580884295
56,-0.14207862521158562,-0.14918038596016184
57,-0.142042148363591,-0.150102067990957
58,-0.14194624622621357,-0.15049133464226275
59,-0.14189255101128903,-0.1527760785878716
60,-0.1423506813008071,-0.1504295733206276
61,-0.14292921700516908,-0.1517481663225933
62,-0.14404141307633372,-0.15338292742803483
63,-0.1444674168014589,-0.15118608021240093
64,-0.14379297580342934,-0.15353674746686746
65,-0.1418682244296415,-0.15430217513744954
66,-0.14150741763599023,-0.15421270607362797
67,-0.14202002568923713,-0.1543967713369771
68,-0.14150071912142934,-0.15447470544969377
69,-0.03598124259102739,-0.044851646993216095
70,-0.026537913588471164,-0.03473904132020224
71,-0.020104542879736308,-0.028305981507697375
72,-0.025556031131095395,-0.03638163637971207
73,-0.03195765977723236,-0.06035314058370194
74,-0.0540978545144344,-0.11714657253095871
75,-0.06413351242898285,-0.16107642064065972
76,-0.06984738231292636,-0.12520481234909173
77,-0.11709874916522285,-0.101365209153996
78,-0.06777181516844051,-0.15434710795050544
79,-0.09206403567871795,-0.11830467538849361
80,-0.02749669127868926,-0.0749999256583756
81,0.03270427395311516,-0.05257351540111474
82,0.06483898740569957,-0.05644120788935312
83,0.04581500630125727,-0.07773304583757655
84,-0.025208268654793684,-0.08989985578747445
85,-0.11634127892183116,-0.0961489644960581
86,-0.13865976954577125,-0.13963502502248354
87,-0.13786842101844407,-0.13940456079582902
88,-0.13768064182065654,-0.1417369258963833
89,-0.13808331779916,-0.14271154425194896
90,-0.139068616567131,-0.14330007359434982
91,-0.13989906975579472,-0.14436196204053353
92,-0.14037030863693264,-0.143120291404183
93,-0.14055045703729793,-0.14298942724976457
94,-0.13989973595089666,-0.14291350273186312
95,-0.13982338240546494,-0.1429295188053385
96,-0.14061623015154456,-0.14339162524047563
97,-0.1405926586371413,-0.14399794784822306
98,-0.14079399603775866,-0.1434846889057514
99,-0.13995421356338242,-0.1441690980581095
100,-0.14024689078858293,-0.14440142489930888
101,-0.13914483901721936,-0.14534501466795505
102,-0.14017406995730175,-0.14666557767967792
103,-0.13988553476946636,-0.14708494968619487
104,-0.1412685553143726,-0.14654741397476878
105,-0.14154015998960878,-0.1461588649499249
106,-0.14179662767564852,-0.14756390530770744
107,-0.1420654378721893,-0.14923189603795906
108,-0.14282275910467238,-0.14956873471898507
109,-0.14312256804373966,-0.15045941963378917
110,-0.1450456953327098,-0.14845254891323817
111,-0.144524787407938,-0.1502088666644119
112,-0.1421724309280644,-0.1511264769418054
113,-0.14129133485583706,-0.14942322532329985
114,-0.13943505247825774,-0.15299009408945874
115,-0.13872337029873266,-0.15172532718134066
116,-0.13958959580226638,-0.1507484421298904
117,-0.14078852745703896,-0.1536885877816543
118,-0.14234411512280956,-0.15606377741105104
119,-0.14335061712268035,-0.15421352134136995
120,-0.1426811044940741,-0.15351426785971456
121,0.0073559241528121265,0.0046889273261387695
122,0.006852531716832368,-0.0013749070717330755
