Data_Point,H_form_pareto_k,B_form_pareto_k
0,-0.0924700947157058,-0.13205234990757536
1,-0.10651067202937567,-0.14403957940340828
2,-0.12196137603231597,-0.14940528350857646
3,0.0653384837905495,0.06466323457962672
4,0.14388375655824817,0.16056969254723907
5,0.19514356786168283,0.23434900245778473
6,0.1501494401044343,0.2310143675892924
7,0.10613090123285093,0.18395396122881447
8,0.17836743142129724,0.2584226292761249
9,0.07655879787362344,0.2649845049796456
10,0.08771325522027859,0.1360509704710117
11,0.18795264630219385,0.16579903177729857
12,0.10244987756479482,0.2839097984531126
13,0.3907545249866775,-0.03532449102195577
14,0.4837796690941795,-0.20396999899140292
15,0.5109253056449659,-0.05136811019246629
16,0.279267076189492,0.18220295861376945
17,0.38568295018417864,0.33831353643979356
18,0.12179450719352397,0.3744050055033748
19,-0.1420292234296219,0.36609315123112035
20,-0.1166432600525367,0.48431624183865907
21,-0.0706935574219562,0.33696138960657995
22,-0.1177843503723917,-0.19843958860665772
23,-0.09283064375018342,-0.14625676496802004
24,-0.0856607794494523,-0.09645128720490487
25,-0.10556867405927121,0.02755113443736635
26,-0.018997482104288168,0.02967012700812094
27,0.04393755824030174,-0.005773714073035138
28,0.19384858312747194,0.16920384282764958
29,0.28773410714844067,0.1850818730276424
30,0.3485415900130965,0.07072789705132115
31,0.2942929581774803,0.09586972839082104
32,-0.02565333264268416,-0.15087099546632265
33,0.018836334717726513,-0.05191028452939517
34,0.023679116724985877,0.15635224430713637
35,0.05484866775708208,0.16975292432849898
36,0.09870580172459643,0.15263405068536387
37,0.10531706564384392,0.09101249180017475
38,0.1051487988347843,0.04870543189106597
39,-0.0828340887908325,-0.128083374743719
40,-0.08997049994347431,-0.12813913408503005
41,-0.08932259668081302,-0.13299546744525265
42,-0.08387632768047998,-0.1298182505176561
43,-0.08823870738586136,-0.13066410113784602
44,-0.09453770592379371,-0.13479903924650155
45,-0.09503993363553563,-0.13639821346585518
46,-0.0944033411145314,-0.13948770943805364
47,-0.09658685409870446,-0.13987174237309155
48,-0.09727176683617958,-0.14025860205801788
49,-0.09887167359225157,-0.14074816451503636
50,-0.1004957715684975,-0.14071798508827357
51,-0.09735078318530437,-0.1421764197244228
52,-0.09797524917219112,-0.1443236003630281
53,-0.09870777331769473,-0.14353830114080607
54,-0.1012965276416307,-0.14660671232243214
55,-0.10229511876168162,-0.1468647107358689
56,-0.10469906065385334,-0.14707303435427518
57,-0.10442416248939548,-0.14539405409922668
58,-0.10587278039636118,-0.14556147620036047
59,-0.10782461180674961,-0.14288152943682175
60,-0.10780267477653477,-0.14044571165363742
61,-0.11079086706917597,-0.14223663658457078
62,-0.1099420046443515,-0.14204634370802266
63,-0.11326411401337881,-0.1441639524747853
64,-0.11479499456136182,-0.14587355593081247
65,-0.11579405489154794,-0.14294392956445579
66,-0.111195502368812,-0.14058112342766266
67,-0.11144556303741186,-0.14689181869746484
68,-0.11142760006636894,-0.14377343240819618
69,-0.009606909525325455,0.009894526001773703
70,0.005055663622435084,0.018294200723196985
71,0.004821604006352797,0.01587703082395273
72,0.009196740573149148,0.00336148939279549
73,-0.0032006635218493544,-0.024559795484088924
74,-0.042941619324955806,-0.07089844943314093
75,-0.04137400094211284,-0.08276970101460163
76,-0.04581968699838176,-0.12185191338535789
77,-0.02477407094356368,-0.1451269534840596
78,-0.06804890497375966,-0.048425609859686226
79,-0.03001150322924076,-0.02991601518906787
80,0.028648033358818315,-0.02512178282696613
81,0.04549223898782075,-0.029098794561688353
82,0.06256337669399285,-0.04111939726187782
83,0.06631349341812083,-0.05158390258852906
84,0.0555671037696576,-0.061340994863247816
85,0.044219088597016336,-0.0777461654154592
86,-0.08703226483350629,-0.13298946809469803
87,-0.08934799873141465,-0.13368139306943636
88,-0.09051597472162155,-0.13240525152617227
89,-0.09565972057657895,-0.13558482072895428
90,-0.09507444152258542,-0.13513424045253544
91,-0.09504293154011402,-0.13601135023458283
92,-0.09371843170160513,-0.1359706302047703
93,-0.09491723152450693,-0.1371251699852437
94,-0.09659407684734493,-0.13776083566678043
95,-0.09683618484525464,-0.13859556504065634
96,-0.09634261530051824,-0.13767422799940138
97,-0.09696618198044868,-0.1383494714704607
98,-0.09871361202820648,-0.1398109762888869
99,-0.09972689362773242,-0.14101047377040976
100,-0.09759015952786826,-0.14182155105512992
101,-0.09486230107842213,-0.141828200069425
102,-0.09657702914553544,-0.14301552018885855
103,-0.09960159153353709,-0.1441430903308522
104,-0.10267513415119173,-0.14613879545352154
105,-0.1027201714379725,-0.14582128528835472
106,-0.10289051002856099,-0.14440962542366173
107,-0.10813741904403408,-0.1449335409046335
108,-0.10766830651377084,-0.14236863304339845
109,-0.11079999314417806,-0.1410643915511213
110,-0.11429129576523349,-0.1395941903476879
111,-0.11345720506394477,-0.14212271618406755
112,-0.11567433919537491,-0.1435978831669486
113,-0.11315413201326371,-0.145600120883477
114,-0.11294225964132251,-0.14543143146424098
115,-0.1143604664884825,-0.14234198914481894
116,-0.11570869774073252,-0.1425409404996959
117,-0.11752600728507906,-0.14844492335250403
118,-0.11500003648616727,-0.14457977974868022
119,-0.11159868538676569,-0.14476516418576568
120,-0.11462930255199925,-0.146717425471638
121,0.006750589505161913,0.012736290160993707
122,0.013986876066769386,0.009045654171097189
123,7.827733996624436e-05,-0.005668050867021894
124,-0.01051768168838303,-0.02916766253962371
125,0.029249481540800423,-0.08947156634274679
126,-0.01767808668563435,-0.11797134968035769
127,-0.0565350844341801,-0.11824267411027074
128,-0.07656320490475364,-0.0673033154273614
129,-0.024990981729854308,-0.12254222231234174
130,0.021948034687749248,-0.12393615910406153
131,-0.007826214592876746,-0.1280520072262952
132,-0.08210116517784409,0.043478237211184864
133,-0.04801276124353308,0.0569784807369009
134,-0.062376171578614165,0.05477567561433156
135,-0.1019937240999358,-0.05003901097190129
136,-0.08753773633471534,-0.14793462999620188
137,-0.09519618076240771,-0.1386046072618807
138,-0.09595377304935089,-0.13687653777814668
139,-0.09662698157721622,-0.13605608284075538
140,-0.0958592686467226,-0.13585571148140904
141,-0.09419556736525854,-0.13726556547431193
142,-0.09584874326038707,-0.13755966120490343
143,-0.09681419127790515,-0.13940963459562955
144,-0.09586516305592922,-0.13897863006545766
145,-0.09648711524095999,-0.13808864526881118
146,-0.09783287819943637,-0.1385161155812411
147,-0.09878198638759006,-0.13819108525092452
148,-0.09948880378129166,-0.13924094286625494
149,-0.10037878417887862,-0.1408617509739098
150,-0.10110660394953473,-0.14069655900124592
151,-0.09911287316817934,-0.14262034796433168
152,-0.0968595532526137,-0.14256535279712465
153,-0.09509916596061943,-0.14221712911193646
154,-0.09683675179698589,-0.14289128429482406
155,-0.09903448221933506,-0.14286876038905144
156,-0.10095652695350465,-0.14433727099685692
157,-0.10237194738970842,-0.1436648099935515
158,-0.10425577758285653,-0.14627809189969088
159,-0.10283052598781789,-0.1459049966506268
160,-0.10293968133509607,-0.145536445361567
161,-0.10407145286727884,-0.14378305353421084
162,-0.10827483982279003,-0.14618316853658048
163,-0.10849449434250585,-0.14428974488572108
164,-0.11049761173692894,-0.14229334438773222
165,-0.11048926196302854,-0.14119864834560794
166,-0.11090799765446928,-0.1408920571758217
167,-0.11135578212218612,-0.1421267809061151
168,-0.10783609499874372,-0.14335617854091634
169,-0.10087316368427598,-0.14522434039167262
170,-0.0933614250105692,-0.14019505062560841
171,-0.08663361196948363,-0.1344642064229271
172,-0.08496816214270138,-0.13119425480924016
173,-0.0891330311329505,-0.12790505600517665
174,-0.09775219873053385,-0.14042195348705871
175,-0.09563357694887577,-0.13984345508224386
176,-0.09675244385649008,-0.13910546630404808
177,-0.09517729086064501,-0.13912572080611108
178,-0.09902900278943037,-0.14708244024495232
179,-0.104127533958807,-0.1392319395539081
180,-0.001573854794933551,-0.0330667930210197
181,0.03515004323121203,-0.024066252921455502
182,0.06436603485762887,0.05881289699089781
183,0.13526754672308638,0.1450854353380856
184,0.0871537550410886,0.20001797441583946
185,0.03662283335458153,0.26607772845400424
186,0.08812047164137354,0.3608914114947216
187,0.21708279181450427,0.4204479020150363
188,0.8471800536195672,0.39940811686482436
189,0.345017791849298,0.07893271416108302
190,-0.02744127576668925,-0.08867721722254945
191,-0.4211391778185539,-0.15596940594144748
192,0.03844698848680931,-0.31540122786869357
193,0.04547505865176135,-0.11833379299916101
194,-0.03034355970740164,-0.07616399296586718
195,-0.1576902738703503,-0.14436529765883668
196,-0.12112618012667872,-0.09429246580199481
197,-0.2536533755915813,0.04216896385632441
198,-0.14095091372264693,-0.08857425564147459
199,0.11745463178243622,0.018075101727706017
200,0.1556994217119238,0.3462375612332177
201,0.23610041329482417,0.4958345416087208
202,0.23729782010626405,0.3261956546384635
203,0.17688880661844716,0.22461013413969716
204,0.07500107230688126,0.020684075546486658
205,0.0026809532815707635,0.011410882548246053
206,-0.01684807939568149,0.05736751691382525
207,-0.044457553053674125,0.04425458706488887
208,-0.07386209647772049,4.58961590647667e-05
209,-0.04495977192822152,-0.02129884751963995
210,-0.09890252311460604,-0.13253934437467896
211,-0.10041608565382855,-0.1352161177822012
212,-0.10163313176622547,-0.13768595083539362
213,-0.10423589537079829,-0.14000136861021634
214,-0.10589404820380041,-0.13951713241025365
215,-0.1019398339658823,-0.14137454821743112
216,-0.09849224764404312,-0.14002662486859876
217,-0.10117895415637239,-0.14090801612765724
218,-0.10272030349138504,-0.14088050520088208
219,-0.10247874445953661,-0.14068792672566782
220,-0.10241831558041398,-0.1393763248882546
221,-0.10135618860633315,-0.1400639352707495
222,-0.10034521354956816,-0.13898536559088687
223,-0.10096228715163642,-0.1399336950194554
224,-0.10243466026362348,-0.1416992525835245
225,-0.10260744698537218,-0.1419893723786702
226,-0.10333852584629795,-0.1427728846646968
227,-0.10405055043148044,-0.14407427420886357
228,-0.10490103659002828,-0.14366082633633587
229,-0.10586347616447224,-0.14509126653924917
230,-0.10692880029199475,-0.1442006184765941
231,-0.10671235912470106,-0.1446065448734629
232,-0.10429045688429131,-0.14310675203682216
233,-0.10264543941118369,-0.1457481812112374
234,-0.1023064638022715,-0.14471240298121746
235,-0.10356395528731627,-0.14215570865517516
236,-0.1061796257718557,-0.1421880511089235
237,-0.1098646687591527,-0.13811228144745197
238,-0.11244349841086358,-0.1379208252926813
239,-0.11381712629981826,-0.13983950012779084
240,-0.1167712405924562,-0.14337600029447994
241,-0.05413502492420419,-0.03785369413873475
242,-0.05970210453279123,-0.0100624765311238
243,-0.04006069325512727,-0.012141408367433364
244,-0.017991023171541075,-0.003723156546795973
245,-0.010271298576165083,-0.015443789851852546
246,-0.001443517992680456,-0.049778437891342155
247,-0.05205165805921182,-0.0957071400874617
248,-0.07937441111337251,-0.126073583142133
249,-0.037057115223010716,-0.07221134793159104
250,-0.008625135697521887,-0.059568501982386335
251,-0.023005709582017794,-0.0750437427589331
252,-0.038955673027155954,-0.04549664443293742
